Sat Jul 30 22:16:00 2022    output.dat

         4156758 function calls (3123299 primitive calls) in 14.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.001    0.000    0.060    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:759(compile)
      136    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:444(_cmpkey)
    148/3    0.001    0.000    0.002    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
       98    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1043    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:286(tell)
       76    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       76    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      731    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      116    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:295(_class_escape)
       26    0.001    0.000    0.007    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\traceback.py:338(extract)
       69    0.001    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:536(_compile_info)
      708    0.001    0.000    0.006    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2064(<genexpr>)
       73    0.001    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1016(__init__)
        6    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\collections\__init__.py:328(namedtuple)
     81/2    0.001    0.000    0.269    0.134 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     3976    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
      852    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:935(_is_dunder)
      163    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      471    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      931    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       65    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      703    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      543    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1397    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      350    0.000    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pygame\sysfont.py:48(_simplename)
       69    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      961    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1104    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      349    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pygame\sysfont.py:54(_addfont)
       69    0.000    0.000    0.041    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:939(parse)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1714    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     66/1    0.000    0.000   14.951   14.951 {built-in method builtins.exec}
      331    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:423(_simple)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      204    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      200    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:432(_uniq)
       82    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
     65/2    0.000    0.000    0.268    0.134 <frozen importlib._bootstrap_external>:877(exec_module)
       84    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
       78    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       44    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:413(<listcomp>)
       69    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2412(__init__)
      307    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       48    0.000    0.000    0.017    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2138(distributions_from_metadata)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       69    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\enum.py:986(__and__)
        1    0.000    0.000    0.038    0.038 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1(<module>)
     1673    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       65    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      165    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:355(_escape)
       12    0.000    0.000    0.038    0.003 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:607(add_entry)
      362    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:168(__setitem__)
      104    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2032(try_parse)
       78    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:206(_collect_type_vars)
       12    0.000    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2653(__init__)
      470    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:34(_get_bothseps)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      121    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:84(opengroup)
   131/65    0.000    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
       24    0.000    0.000    0.011    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2584(from_location)
  171/159    0.000    0.000    0.006    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:306(inner)
      468    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
      484    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      373    0.000    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:221(dirname)
    76/64    0.000    0.000    0.071    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      378    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\locale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
